,state,name
0,CA,Donald Trump
1,GA,Donald Trump
2,IL,Donald Trump
3,KS,Donald Trump
4,MA,Donald Trump
5,MI,Barack Obama
6,MN,Donald Trump
7,NJ,Hillary Clinton
8,NY,Donald Trump
9,OH,Donald Trump
10,TX,Hillary Clinton
11,UT,Hillary Clinton
12,VA,Donald Trump
13,WA,Donald Trump
